Name,y,x
Aukeigas,5167.788,61307.38
Christo,-1238.576,43221.161
Moltkeblick,-18508.747,72022.937
Wachter,-13105.052,52799.351
FTSM001,-8080.346,60410.104
FTSM002,-4700.364,62323.339
FTSM003,-197.71,62319.749
FTSM004,-8025.944,57485.788
FTSM005,-7972.016,52274.066
Friedensberg,78672.98,240485.57
Enana,70509,-500162
Oasib,15964,-263768
Uitsab,-89930,-272879
Etjo,55337.05,-97903.44
Omarurufelsen,103629.59,-62661.51
Omatako,29823.33,-88258.09
Okarutuo,-100541.13,-96839.11
Kupferberg,7453.84,72658.57
Gr.Schanzberg,80376.41,149843.19
Bitterwasser,-93867.5,199751.23
Remmhohe,19774.42,400123.24
Kububerhohe,77222.93,522390.32
Schlangenkopf,-86337.5,525088.8
Chamnaub,89860.6,635297.6
Uhabis,-65354.05,706808.77
Schlangenkopf,-86338.12,525089.46
