Name,Lat_deg,Lat_min,Lat_sec,Lon_deg,Lon_min,Lon_sec
1718,-17,37,8.008,18,0,0.64544
ARIA,-28,7,26.36864,19,50,22.79008
AUSW,-26,35,27.16544,15,59,59.71088
BAKO,-18,2,31.68312,21,59,39.38298
FTSM,-22,34,16.13924,17,5,9.88048
GRTF,-19,32,41.8313,18,4,34.883
KATM,-17,30,13.60728,24,19,17.67904
KEET,-26,43,13.41178,17,59,59.82061
MARI,-24,37,54.05952,18,0,0.19199
MATA,-25,46,5.59924,19,59,49.80829
MUHO,-17,54,37.76774,19,59,14.84934
ONGH,-17,31,4.15877,16,0,0.03971
OUTJ,-19,55,59.10859,15,59,48.66454
PALM,-19,57,19.23426,14,0,0.00518
RIVE,-28,18,38.31397,17,59,59.94834
ROSH,-27,58,24.92292,16,44,59.18914
RUAC,-17,23,36.17416,14,13,24.42994
SESR,-24,29,13.72445,15,47,58.70414
SWAK,-22,40,16.1171,14,33,58.25668
SWZK,-22,45,37.14152,18,40,30.9355
TSUM,-19,34,41.72351,20,59,46.648
WIND,-22,34,29.71348,17,5,21.95473
